input, cpu percent, max bc, time
testcases/1e3, 10,4854.51, 595
testcases/1e3, 15,4854.51, 634
testcases/1e3, 20,4854.51, 601
testcases/1e3, 5,4854.51, 567
testcases/1e3, 10,4854.51, 602
testcases/1e3, 15,4854.51, 593
testcases/1e3, 20,4854.51, 635
testcases/1e3, 5,4854.51, 607
testcases/1e3, 10,4854.51, 614
testcases/1e3, 15,4854.51, 629
testcases/1e3, 20,4854.51, 631
testcases/1e3, 5,4854.51, 603
testcases/1e3, 10,4854.51, 627
testcases/1e3, 15,4854.51, 633
testcases/1e3, 20,4854.51, 632
testcases/1e3, 5,4854.51, 589
testcases/1e3, 10,4854.51, 599
testcases/1e3, 15,4854.51, 616
testcases/1e3, 20,4854.51, 651
testcases/1e3, 5,4854.51, 611
testcases/1e4, 10,85762.39, 9048
testcases/1e4, 15,85762.28, 9088
testcases/1e4, 20,85762.18, 9534
testcases/1e4, 5,85762.44, 8092
testcases/1e4, 10,85762.39, 9189
testcases/1e4, 15,85762.27, 9508
testcases/1e4, 20,85762.18, 9683
testcases/1e4, 5,85762.44, 8111
testcases/1e4, 10,85762.38, 9202
testcases/1e4, 15,85762.27, 9520
testcases/1e4, 20,85762.18, 9619
testcases/1e4, 5,85762.44, 8162
testcases/1e4, 10,85762.38, 9201
testcases/1e4, 15,85762.28, 9416
testcases/1e4, 20,85762.18, 9671
testcases/1e4, 5,85762.45, 8240
testcases/1e4, 10,85762.38, 9149
testcases/1e4, 15,85762.27, 9504
testcases/1e4, 20,85762.19, 9616
testcases/1e4, 5,85762.44, 7844
testcases/1e5, 10,1237959.88, 1472525
testcases/1e5, 15,1237961.25, 1526518
testcases/1e5, 20,1237959.62, 1553289
testcases/1e5, 5,1237958.00, 1311100
testcases/1e5, 10,1237959.88, 1472497
testcases/1e5, 15,1237961.25, 1528145
testcases/1e5, 20,1237959.62, 1554063
testcases/1e5, 5,1237957.88, 1326593
testcases/1e5, 10,1237959.88, 1472728
testcases/1e5, 15,1237961.25, 1531092
testcases/1e5, 20,1237959.62, 1553463
testcases/1e5, 5,1237958.00, 1308517
testcases/1e5, 10,1237959.88, 1472192
testcases/1e5, 15,1237961.25, 1526694
testcases/1e5, 20,1237959.62, 1553182
testcases/1e5, 5,1237958.00, 1308476
testcases/1e5, 10,1237959.88, 1472777
testcases/1e5, 15,1237961.25, 1525883
testcases/1e5, 20,1237959.62, 1553481
testcases/1e5, 5,1237958.00, 1309497
